#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
100;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;09.4939.21.Çin, Original;09.4939.21;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
101;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;08.9460.40.Çin, Original;08.9460.40;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
102;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;RIW FI11070.Çin, Original;RIW FI11070;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
103;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;TC2636.Çin, Original;TC2636;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
104;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;51932035.Çin, Original;51932035;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
105;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2462S0128.Çin, Original;2462S0128;Lower ball joint;下球头;Suspension;;China;New;Original;;;
106;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;FAST FT21005.Çin, Original;FAST FT21005;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
107;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;APEC AST4464.Çin, Original;APEC AST4464;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
108;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;TRW PHB937.Çin, Original;TRW PHB937;Brake hose;刹车软管;Braking System;;China;New;Original;;;
109;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;BUDWEG 384626‑1.Çin, Original;BUDWEG 384626‑1;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
110;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;RIDEX 1009C0081.Çin, Original;RIDEX 1009C0081;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
111;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
112;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46833541.Çin, Original;46833541;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
113;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
114;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51897081.Çin, Original;51897081;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
115;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;55221090.Çin, Original;55221090;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
116;更换取暖炉的散热器，包括备件。;Replacing the radiator of the heating stove with a new one, including spare parts;İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46722928.Çin, Original;46722928;Heater core;暖风散热器;Cooling / Heating System;;China;New;Original;;;
117;更换恒温器，包括一个新的和备用的。;Replacing the thermostat with a new one, along with a spare part;Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;55241963.Çin, Original;55241963;Thermostat;恒温器;Engine / Cooling System;;China;New;Original;;;
118;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;55188058.Çin, Original;55188058;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
119;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;51898740.Çin, Original;51898740;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
120;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;51790620.Çin, Original;51790620;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
121;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;51757915.Çin, Original;51757915;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
122;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
123;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;55284051.Çin, Original;55284051;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
124;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;445010276.Çin, Original;445010276;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
125;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51810308.Çin, Original;51810308;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
126;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;1006209923.Çin, Original;1006209923;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
127;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;52110467.Çin, Original;52110467;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
128;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə ;77362734.Çin, Original;77362734;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
129;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;83227323.Çin, Original;83227323;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
130;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;51944878.Çin, Original;51944878;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
131;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;51974227. .Çin, Original;51974227;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
132;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;DCPR7E .Çin, Original;DCPR7E;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
133;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;305P0082.Çin, Original;305P0082;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
134;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;390241564.Çin, Original;390241564;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
135;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3397007295.Çin, Original;3397007295;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
136;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;H239156.7.1.Çin, Original;H239156.7.1;Master cylinder;主缸;Braking System;;China;New;Original;;;
137;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;55227259.Çin, Original;55227259;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
138;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
139;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
140;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;11427511161.Çin, Original;11427511161;Oil filter;机油滤清器;Engine;;China;New;Original;;;
141;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;5x30 Bendix Türkiyə.;5x30;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
142;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;261210238.Çin, Original;261210238;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
143;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;FAST FT54105.Çin, Original;FAST FT54105;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
144;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46336109.Çin, Original;46336109;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
145;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46740213.Çin, Original;46740213;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
146;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;09.4939.21.Çin, Original;09.4939.21;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
147;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;08.9460.40.Çin, Original;08.9460.40;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
148;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə; FI11070.Çin, Original;FI11070;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
